estimand,paired_unit,alignment,effect_sign,dependence,null_or_interval,no_rescue_rule,interpretation
P1_reliability,target,target_id_and_same_split,seed4_minus_seed3,shared_target_and_trials,target_cluster_bootstrap_2000_RNG15793,no_combined_p,training_seed_effect_concordance
P1_topk,target_level,target_id_level_M81,seed4_minus_seed3,shared_target_and_trials,target_cluster_bootstrap_2000_RNG15793,no_better_seed_selection,materiality_concordance
P1_regret,target_level,target_id_level_M81,seed4_minus_seed3_positive_means_more_regret,shared_target_and_trials,target_cluster_bootstrap_2000_RNG15793,no_better_seed_selection,materiality_concordance
H2_deviance,target,target_id,seed4_minus_seed3_positive_means_more_model_gain,shared_target,pair_target_bootstrap,no_p_pooling,registered_model_heterogeneity
P2_local,target_level_trajectory,target_id_level_regime,seed4_minus_seed3,shared_target_and_trials,target_cluster_bootstrap,no_p_pooling,local_effect_concordance
P2_LOTO,target,target_id,seed4_minus_seed3,shared_target_and_trials,target_cluster_bootstrap,no_gate_rescue,transport_heterogeneity
P2_LORO,regime,regime_with_shared_targets,seed4_minus_seed3,shared_targets,descriptive_three_regime_ledger,no_random_effects,transport_heterogeneity
H4_F2,target,target_id,seed4_minus_seed3,shared_target_and_trials,target_cluster_bootstrap,no_candidate_rescue,candidate_gate_concordance
H5_F4,target,target_id,seed4_minus_seed3,shared_target_and_trials,target_cluster_bootstrap,no_candidate_rescue,candidate_gate_concordance
H6,target,target_id,seed4_minus_seed3,shared_target_and_trials,target_cluster_bootstrap,no_adjusted_p_rescue,positive_control_heterogeneity
