evidence,value,pass
evaluation_job_id,894958,1
evaluation_job_state,FAILED,1
evaluation_job_exit_code,1:0,1
evaluation_job_runtime,00:00:03,1
evaluation_job_GPU,0,1
selection_manifest_self_sha256,4677ed3aba7758ea0008c2093b44d6fb81d425930727e5941950179737ebd519,1
selection_payload_sha256,1ed893acd9190914eb4cb122f3ef26bc1e2355c4103894b816894bd264669257,1
selection_recomputed,0,1
evaluation_view_opens,16,1
evaluation_label_rows_read,4746,1
construction_view_opens,16,1
construction_label_rows_loaded,4470,1
contexts_evaluated_in_memory,32,1
method_context_rows_computed_in_memory,672,1
method_context_rows_frozen,0,1
primary_comparison_rows_frozen,0,1
LOTO_rows_frozen,0,1
Q1_Q2_inference_executed,0,1
maxT_executed,0,1
taxonomy_nonblocker_classification_executed,0,1
evaluation_stdout_bytes,0,1
evaluation_stderr_sha256,8b0e0d7b5102d9c82961e901e885e832af9410b7f5a76749fc5e2c17852201c9,1
root_cause,identical_field_set_different_dictionary_key_order,1
selector_row_key_order,standardized_regret|selected_utility|top1|top5|top10|coverage_top1|coverage_top5|coverage_top10,1
random_row_key_order,standardized_regret|selected_utility|top1|coverage_top1|top5|coverage_top5|top10|coverage_top10,1
same_label_oracle_accesses,0,1
target4_primary_rows,0,1
training_forward_reinference_GPU,0|0|0|0,1
retry_allowed_under_current_protocol,0,1
primary_taxonomy,C81-E_protocol_input_implementation_or_provenance_blocker,1
