check,passed,blocking,evidence
repair_protocol_precedes_code_change,1,0,5062f5a_precedes_225df1c
repair_protocol_hash_replays,1,0,2acf6ecc179c739f73845d430f9eac9e9e83a83015370b1125dbe447b8b59272
implementation_precedes_new_lock,1,0,225df1c_precedes_f82ffa4
new_lock_hash_replays,1,0,13414dde0a88eb8a1a0810b3b36f25c718669d4cfe3178b871239eff6e292705
historical_lock_preserved,1,0,bad8db4_unchanged
historical_authorization_preserved,1,0,b2f9fca_unchanged
prior_authorization_rejected,1,0,authorization_lock_binding_mismatch
selection_job_preserved,1,0,job_894915
selection_job_completed,1,0,exit_0_runtime_00_06_02
selection_job_GPU_zero,1,0,cpu_high_allocation
selection_stderr_empty,1,0,sha256_e3b0c44298fc
manifest_file_hash_replays,1,0,b02cf6b80127858ef0ab57f5c6e4954715dc9d5aaea77b64cdb9bf13f09ea8a4
manifest_self_hash_replays,1,0,4677ed3aba7758ea0008c2093b44d6fb81d425930727e5941950179737ebd519
payload_hash_replays,1,0,1ed893acd9190914eb4cb122f3ef26bc1e2355c4103894b816894bd264669257
payload_size_replays,1,0,415284_bytes
payload_field_set_exact,1,0,10_registered_arrays
cell_seed_shape_exact,1,0,32
cell_target_shape_exact,1,0,32
cell_level_shape_exact,1,0,32
candidate_index_shape_exact,1,0,32x81
method_id_shape_exact,1,0,19
score_shape_exact,1,0,32x19x81
top10_shape_exact,1,0,32x19x10
ALine_shape_contract_exact,1,0,three_32_row_arrays
method_order_exact,1,0,19_of_19_registered_order
context_identity_exact,1,0,32_unique_seed_target_level_cells
seed_identity_exact,1,0,3_and_4
target_identity_exact,1,0,1_2_3_5_6_7_8_9
level_identity_exact,1,0,0_and_1
target4_selection_access_zero,1,0,manifest_false_and_metadata_absent
evaluation_label_access_zero,1,0,manifest_false
oracle_access_zero,1,0,manifest_false
held_evaluation_table_absent,1,0,method_context_results_absent
scientific_result_absent,1,0,C81_result_JSON_absent
selection_recomputation_forbidden,1,0,new_lock_false
shared_C74_verifier_unchanged,1,0,repair_is_C81_local
base_protocol_hash_unchanged,1,0,cbdb42f54956b685c27a1718c37d7c56c513084817a5c69fb29f06bfb67ad3ee
method_registry_hash_unchanged,1,0,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120
scientific_registry_changed_false,1,0,repair_protocol_contract
score_formula_changed_false,1,0,descriptor_verifier_only
inference_or_taxonomy_changed_false,1,0,descriptor_verifier_only
focused_regression_pass,1,0,47_passed_job_894924
C65_regression_pass,1,0,416_passed_1_skip_3_deselected_job_894922
C23_regression_pass,1,0,827_passed_1_skip_3_deselected_job_894923
full_regression_pass,1,0,1751_passed_1_skip_3_deselected_job_894925
registered_skip_explained,1,0,C78F_finalized_guard
historical_deselections_explained,1,0,three_C79P_preauthorization_state_tests
all_regression_stderr_empty,1,0,four_zero_byte_files
Git_payload_policy_pass,1,0,no_new_payload_over_50MiB
active_C81_jobs_zero,1,0,squeue_empty
new_direct_authorization_required,1,0,policy_3d9dd76_no_token_or_hash_recital
readiness_gate_exact,1,0,C81_SELECTION_DESCRIPTOR_REPAIR_LOCKED_READY_FOR_PI_REAUTHORIZATION
