method_id,family,observable_inputs,query_score,estimator,warm_start,probability_floor,variance_estimator,confidence_set,stopping,complexity,reference,role,tie_rule,confirmation_tuning
P0,PASSIVE_PRIMARY,unlabeled_trial_IDs;RNG,constant,sample_mean_equals_LURE,0,uniform,finite_population_sample_variance,not_applicable,fixed_budget,O(N),DESIGN_BASELINE,PRIMARY_COMPARATOR,first_canonical_candidate_index,FORBIDDEN
P1,PASSIVE_CLASS_AWARE,complete_pool_class_allocation_oracle,class_stratified_uniform,historical_Q0,0,within_class_uniform,historical_Q0,not_applicable,fixed_budget,O(N),C84_Q0,SECONDARY_UNFAIR_INFORMATION_REFERENCE,first_canonical_candidate_index,FORBIDDEN
A1,ACTIVE_TESTING,candidate_probabilities;queried_labels,mean_expected_candidate_NLL,LURE_composite_plugin,4,0.05/remaining,LURE_weighted_term_sample_variance,not_used,fixed_budget,O(NM),Kossen2021;Farquhar2021,PRIMARY_ACTIVE,first_canonical_candidate_index,FORBIDDEN
A2,PAIRWISE_VARIANCE,candidate_probabilities;queried_labels,max_expected_absolute_pairwise_NLL_difference,LURE_composite_plugin,4,0.05/remaining,LURE_pairwise_weighted_term_sample_variance,not_used_all_81_pairs,fixed_budget,O(NM^2),Hara2024;Farquhar2021,PRIMARY_ACTIVE,first_canonical_candidate_index,FORBIDDEN
A3,DISAGREEMENT,candidate_predictions;queried_labels,one_minus_max_vote_fraction,LURE_composite_plugin,4,0.05/remaining,LURE_weighted_term_sample_variance,not_used_all_81_votes,fixed_budget,O(NM),Karimi2021,PRIMARY_ACTIVE,first_canonical_candidate_index,FORBIDDEN
A4,PLAUSIBLE_BEST,candidate_probabilities;queried_labels;confidence_set,max_expected_pairwise_NLL_difference_in_set,LURE_composite_plugin,4,0.05/remaining,LURE_pairwise_weighted_term_sample_variance,Bonferroni_normal_NLL_plausible_best_set_alpha_0.05,fixed_budget_primary;secondary_two_step_singleton,O(NM^2),Hansen2011;Hara2024_project_adaptation,PRIMARY_ACTIVE,first_canonical_candidate_index,FORBIDDEN
C0,FIXED,none,not_applicable,not_applicable,0,not_applicable,not_applicable,not_applicable,no_queries,O(1),C84_B1,B1_ERM_REFERENCE,first_canonical_candidate_index,FORBIDDEN
C1,SOURCE,source_audit_only,not_applicable,S1,0,not_applicable,not_applicable,not_applicable,no_queries,O(M),C84_S1,STRICT_SOURCE_REFERENCE,first_canonical_candidate_index,FORBIDDEN
C2_U11,ZERO_LABEL,target_unlabeled_only,not_applicable,MaNo,0,not_applicable,not_applicable,not_applicable,no_queries,C84_FIXED,C84_U11,FROZEN_ZERO_LABEL_REFERENCE,first_canonical_candidate_index,FORBIDDEN
C2_U13,ZERO_LABEL,target_unlabeled_only,not_applicable,COTT,0,not_applicable,not_applicable,not_applicable,no_queries,C84_FIXED,C84_U13,FROZEN_ZERO_LABEL_REFERENCE,first_canonical_candidate_index,FORBIDDEN
O1,ORACLE,full_acquisition_labels_after_evaluation_only_release,not_applicable,exact_full_acquisition_composite,0,not_applicable,exact,not_applicable,FULL,O(NM),FULL_ACQUISITION_POOL,EVALUATION_ONLY_CEILING,first_canonical_candidate_index,FORBIDDEN
